math score,reading score,writing score,placement score,club join year,placement offer count
69,91,74,96,2021,3
61,80,75,89,2020,3
62,90,70,92,2020,3
77,84,80,87,2021,3
75,83,77,94,2019,3
80,84,74,92,2021,3
72,78,61,87,2020,3
67,79,60,95,2018,3
60,80,67,94,2021,3
61,80,68,80,2018,3
65,81,67,94,2021,3
61,89,78,97,2021,3
80,84,78,97,2019,3
62,82,76,97,2020,3
60,94,79,88,2019,3
61,92,80,86,2021,3
73,87,63,100,2018,3
80,76,75,77,2018,3
65,82,64,98,2018,3
79,91,67,80,2018,3
75,79,79,99,2019,3
74,85,62,91,2019,3
69,86,66,94,2018,3
70,86,67,84,2019,3
80,88,78,85,2018,3
77,76,73,81,2020,3
62,79,79,96,2018,3
64,89,65,83,2021,3
71,91,74,82,2020,3
